time,open,high,low,close,volume
2025-01-01 22:00:00+00:00,162.634,162.637,162.585,162.617,98
2025-01-01 22:15:00+00:00,162.615,162.794,162.615,162.794,190
2025-01-01 22:30:00+00:00,162.8,162.851,162.784,162.84,249
2025-01-01 22:45:00+00:00,162.839,162.859,162.803,162.84,292
2025-01-01 23:00:00+00:00,162.87,162.873,162.783,162.805,321
2025-01-01 23:15:00+00:00,162.805,162.871,162.805,162.85,248
2025-01-01 23:30:00+00:00,162.852,162.938,162.843,162.935,343
2025-01-01 23:45:00+00:00,162.936,163.292,162.936,163.227,470
2025-01-02 00:00:00+00:00,163.235,163.287,163.099,163.146,886
2025-01-02 00:15:00+00:00,163.144,163.146,162.97,162.974,654
2025-01-02 00:30:00+00:00,162.975,163.095,162.969,163.072,666
2025-01-02 00:45:00+00:00,163.072,163.099,162.883,162.981,866
2025-01-02 01:00:00+00:00,162.984,163.108,162.887,163.056,1012
2025-01-02 01:15:00+00:00,163.054,163.181,163.033,163.136,846
2025-01-02 01:30:00+00:00,163.136,163.229,163.106,163.207,679
2025-01-02 01:45:00+00:00,163.207,163.239,163.122,163.144,573
2025-01-02 02:00:00+00:00,163.144,163.154,163.071,163.094,590
2025-01-02 02:15:00+00:00,163.094,163.112,163.06,163.083,453
2025-01-02 02:30:00+00:00,163.083,163.189,163.077,163.14,521
2025-01-02 02:45:00+00:00,163.141,163.156,163.076,163.121,468
2025-01-02 03:00:00+00:00,163.123,163.135,162.985,163.009,501
2025-01-02 03:15:00+00:00,163.009,163.056,162.987,163.021,410
2025-01-02 03:30:00+00:00,163.021,163.111,162.986,163.072,493
2025-01-02 03:45:00+00:00,163.072,163.089,162.992,162.995,381
2025-01-02 04:00:00+00:00,162.998,163.02,162.92,162.938,413
2025-01-02 04:15:00+00:00,162.937,162.961,162.875,162.875,367
2025-01-02 04:30:00+00:00,162.878,162.894,162.813,162.843,443
2025-01-02 04:45:00+00:00,162.842,162.869,162.792,162.82,361
2025-01-02 05:00:00+00:00,162.818,162.847,162.773,162.813,395
2025-01-02 05:15:00+00:00,162.816,162.908,162.795,162.889,465
2025-01-02 05:30:00+00:00,162.89,162.92,162.859,162.86,431
2025-01-02 05:45:00+00:00,162.859,162.937,162.856,162.929,368
2025-01-02 06:00:00+00:00,162.93,162.93,162.742,162.761,506
2025-01-02 06:15:00+00:00,162.757,162.79,162.496,162.524,596
2025-01-02 06:30:00+00:00,162.525,162.527,162.393,162.47,893
2025-01-02 06:45:00+00:00,162.466,162.5,162.358,162.364,769
2025-01-02 07:00:00+00:00,162.363,162.435,162.238,162.417,996
2025-01-02 07:15:00+00:00,162.417,162.514,162.398,162.49,801
2025-01-02 07:30:00+00:00,162.494,162.513,162.235,162.248,793
2025-01-02 07:45:00+00:00,162.252,162.465,162.192,162.352,937
2025-01-02 08:00:00+00:00,162.356,162.58,162.291,162.3,1362
2025-01-02 08:15:00+00:00,162.295,162.308,161.952,161.997,1181
2025-01-02 08:30:00+00:00,161.997,162.262,161.986,162.191,1247
2025-01-02 08:45:00+00:00,162.196,162.481,162.177,162.461,927
2025-01-02 09:00:00+00:00,162.46,162.58,162.443,162.472,1022
2025-01-02 09:15:00+00:00,162.472,162.59,162.464,162.492,835
2025-01-02 09:30:00+00:00,162.49,162.508,162.379,162.418,733
2025-01-02 09:45:00+00:00,162.415,162.441,162.274,162.307,711
2025-01-02 10:00:00+00:00,162.304,162.49,162.304,162.471,704
2025-01-02 10:15:00+00:00,162.468,162.547,162.351,162.374,764
2025-01-02 10:30:00+00:00,162.372,162.373,162.241,162.298,988
2025-01-02 10:45:00+00:00,162.302,162.412,162.018,162.115,1733
2025-01-02 11:00:00+00:00,162.114,162.392,162.06,162.342,1040
2025-01-02 11:15:00+00:00,162.342,162.402,162.272,162.325,883
2025-01-02 11:30:00+00:00,162.324,162.352,162.205,162.34,918
2025-01-02 11:45:00+00:00,162.339,162.436,162.221,162.427,864
2025-01-02 12:00:00+00:00,162.43,162.453,162.247,162.321,871
2025-01-02 12:15:00+00:00,162.319,162.344,162.266,162.311,785
2025-01-02 12:30:00+00:00,162.309,162.366,162.22,162.243,876
2025-01-02 12:45:00+00:00,162.243,162.253,162.034,162.084,913
2025-01-02 13:00:00+00:00,162.08,162.096,161.975,162.009,907
2025-01-02 13:15:00+00:00,162.01,162.04,161.724,161.842,1059
2025-01-02 13:30:00+00:00,161.826,162.269,161.805,161.853,1707
2025-01-02 13:45:00+00:00,161.85,161.858,161.69,161.745,1508
2025-01-02 14:00:00+00:00,161.741,161.942,161.714,161.894,1219
2025-01-02 14:15:00+00:00,161.898,161.954,161.648,161.71,1247
2025-01-02 14:30:00+00:00,161.706,161.883,161.621,161.786,1353
2025-01-02 14:45:00+00:00,161.782,161.978,161.776,161.807,1229
2025-01-02 15:00:00+00:00,161.803,161.924,161.679,161.79,1257
2025-01-02 15:15:00+00:00,161.792,161.792,161.413,161.481,1584
2025-01-02 15:30:00+00:00,161.478,161.717,161.452,161.632,1560
2025-01-02 15:45:00+00:00,161.629,161.689,161.44,161.461,1507
2025-01-02 16:00:00+00:00,161.466,161.552,160.892,161.444,3297
2025-01-02 16:15:00+00:00,161.447,161.519,161.392,161.499,1340
2025-01-02 16:30:00+00:00,161.498,161.609,161.436,161.541,1330
2025-01-02 16:45:00+00:00,161.542,161.792,161.528,161.775,1217
2025-01-02 17:00:00+00:00,161.772,161.883,161.683,161.808,1170
2025-01-02 17:15:00+00:00,161.81,161.955,161.778,161.821,1042
2025-01-02 17:30:00+00:00,161.817,161.838,161.677,161.703,1092
2025-01-02 17:45:00+00:00,161.706,161.752,161.623,161.736,991
2025-01-02 18:00:00+00:00,161.74,161.806,161.695,161.731,868
2025-01-02 18:15:00+00:00,161.732,161.734,161.617,161.693,837
2025-01-02 18:30:00+00:00,161.692,161.692,161.583,161.65,811
2025-01-02 18:45:00+00:00,161.65,161.653,161.537,161.54,771
2025-01-02 19:00:00+00:00,161.541,161.584,161.485,161.497,693
2025-01-02 19:15:00+00:00,161.496,161.69,161.496,161.653,737
2025-01-02 19:30:00+00:00,161.651,161.683,161.58,161.599,713
2025-01-02 19:45:00+00:00,161.594,161.612,161.538,161.576,740
2025-01-02 20:00:00+00:00,161.58,161.68,161.58,161.658,682
2025-01-02 20:15:00+00:00,161.658,161.736,161.64,161.72,579
2025-01-02 20:30:00+00:00,161.723,161.756,161.683,161.742,558
2025-01-02 20:45:00+00:00,161.744,161.774,161.715,161.727,539
2025-01-02 21:00:00+00:00,161.73,161.745,161.698,161.704,256
2025-01-02 21:15:00+00:00,161.709,161.75,161.704,161.721,179
2025-01-02 21:30:00+00:00,161.72,161.739,161.7,161.709,193
2025-01-02 21:45:00+00:00,161.709,161.735,161.666,161.698,292
2025-01-02 22:00:00+00:00,161.684,161.689,161.495,161.505,89
2025-01-02 22:15:00+00:00,161.505,161.549,161.486,161.532,177
2025-01-02 22:30:00+00:00,161.538,161.593,161.529,161.593,136
2025-01-02 22:45:00+00:00,161.592,161.607,161.561,161.576,153
2025-01-02 23:00:00+00:00,161.617,161.694,161.598,161.672,203
2025-01-02 23:15:00+00:00,161.671,161.721,161.671,161.721,183
2025-01-02 23:30:00+00:00,161.721,161.734,161.692,161.73,163
2025-01-02 23:45:00+00:00,161.729,161.743,161.543,161.557,355
2025-01-03 00:00:00+00:00,161.559,161.567,161.482,161.536,516
2025-01-03 00:15:00+00:00,161.536,161.559,161.493,161.538,436
2025-01-03 00:30:00+00:00,161.538,161.624,161.506,161.595,376
2025-01-03 00:45:00+00:00,161.595,161.606,161.464,161.495,626
2025-01-03 01:00:00+00:00,161.495,161.54,161.448,161.483,579
