month,start_balance,end_balance,monthly_max_drawdown,monthly_profit,monthly_profit_pct,monthly_trades,monthly_winrate
2025-04,1000.0,1000.0,0.0,0.0,0.0,0,0.0
2025-05,1000.0,1018.4713774743428,-2.475124687812497,18.47137747434283,1.847137747434283,12,50.0
2025-06,1018.4713774743428,1029.9921027305134,-0.5000000000000053,11.520725256170522,1.131178107797217,6,50.0
2025-07,1029.9921027305134,1049.8779327664051,-0.5000000000000028,19.885830035891786,1.9306779132747105,4,75.0
2025-08,1049.8779327664051,1034.2585956602288,-2.5946594265370257,-15.619337106176317,-1.4877288700620375,11,27.27272727272727
2025-09,1034.2585956602288,1038.6015451248106,-0.5000000000000009,4.342949464581807,0.4199094387810665,2,50.0
2025-10,1038.6015451248106,1081.7664507813483,-1.5624905291833857,43.16490565653771,4.156060219547479,13,61.53846153846154
2025-11,1081.7664507813483,1133.7082520437202,-1.4925125000000001,51.94180126237188,4.801572578337485,16,56.25
2025-12,1133.7082520437202,1115.012277849128,-2.1697232588496163,-18.69597419459228,-1.649099242321762,14,28.57142857142857
2026-01,1115.012277849128,1138.1593690419986,-0.9975000000000002,23.147091192870676,2.0759494449264446,7,57.14285714285714
2026-02,1138.1593690419986,1146.3145676990362,-1.9850499375000057,8.155198657037545,0.7165251966340941,18,38.88888888888889
2026-03,1146.3145676990362,1129.9328321595342,-2.0997215364657795,-16.38173553950196,-1.429078544503237,11,27.27272727272727
2026-04,1129.9328321595342,1152.8502188988891,-0.5000000000000059,22.917386739354924,2.028207879892744,7,57.14285714285714
