ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,regime,use_atr_expansion,atr_ma_period,atr_expansion_ratio_min,use_bb_width,bb_length,use_donchian,donchian_n,use_breakout_strength_filter,use_fake_breakout_filter,use_retest_entry,use_zone_quality_score,breakout_body_mult,breakout_atr_mult,volume_spike_mult,zone_quality_min,chop_max,high_vol_day_only,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength,False,50,1.0,False,20,True,20,True,True,False,True,1.3,0.5,0.0,4.0,0.0,False,9.635741277971057,1096.3574127797106,66,0.18032786885245902,46.96969696969697,1.5181892746617123,-3.177460551667243,9.106698027989916,-5.312863602513632,1.4599607996925799,4,106,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength,False,50,1.0,False,20,True,20,True,True,False,True,1.5,0.4,0.0,3.0,0.0,False,9.94426827014172,1099.4426827014172,68,0.18579234972677597,47.05882352941176,1.5157852570047954,-3.6615732489089234,9.132540523691983,-5.355517057131291,1.462392392667897,4,107,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength,False,50,1.0,False,20,True,20,True,True,False,True,1.5,0.4,0.0,4.0,0.0,False,9.94426827014172,1099.4426827014172,68,0.18579234972677597,47.05882352941176,1.5157852570047954,-3.6615732489089234,9.132540523691983,-5.355517057131291,1.462392392667897,4,107,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength_retest,False,50,1.0,False,20,True,20,True,True,True,True,1.3,0.4,0.0,3.0,0.0,False,-0.08758443078758091,999.1241556921242,50,0.1366120218579235,36.0,0.994495052636024,-3.7292888086435876,8.790303354736546,-4.97191577166042,-0.017516886157512204,5,69,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength_retest,False,50,1.0,False,20,True,20,True,True,True,True,1.3,0.4,0.0,4.0,0.0,False,-0.08758443078758091,999.1241556921242,50,0.1366120218579235,36.0,0.994495052636024,-3.7292888086435876,8.790303354736546,-4.97191577166042,-0.017516886157512204,5,69,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength_retest,False,50,1.0,False,20,True,20,True,True,True,True,1.5,0.4,0.0,3.0,0.0,False,-0.49378658099527684,995.0621341900472,48,0.13114754098360656,35.41666666666667,0.9678384373053883,-4.544728777174021,8.74089866858562,-4.952682037932527,-0.10287220437401601,5,65,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength_retest,False,50,1.0,False,20,True,20,True,True,True,True,1.5,0.4,0.0,4.0,0.0,False,-0.49378658099527684,995.0621341900472,48,0.13114754098360656,35.41666666666667,0.9678384373053883,-4.544728777174021,8.74089866858562,-4.952682037932527,-0.10287220437401601,5,65,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_retest,False,50,1.0,False,20,True,20,False,True,True,False,1.3,0.4,0.0,3.0,0.0,False,-5.068604240243962,949.3139575975604,98,0.2677595628415301,32.6530612244898,0.8427654984800103,-6.627866387921035,8.489796962961748,-4.884235533594173,-0.5172045143106067,7,151,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_retest,False,50,1.0,False,20,True,20,False,True,True,False,1.3,0.4,0.0,4.0,0.0,False,-5.068604240243962,949.3139575975604,98,0.2677595628415301,32.6530612244898,0.8427654984800103,-6.627866387921035,8.489796962961748,-4.884235533594173,-0.5172045143106067,7,151,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_retest,False,50,1.0,False,20,True,20,False,True,True,False,1.3,0.5,0.0,3.0,0.0,False,-5.068604240243962,949.3139575975604,98,0.2677595628415301,32.6530612244898,0.8427654984800103,-6.627866387921035,8.489796962961748,-4.884235533594173,-0.5172045143106067,7,151,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_retest,False,50,1.0,False,20,True,20,False,True,True,False,1.3,0.5,0.0,4.0,0.0,False,-5.068604240243962,949.3139575975604,98,0.2677595628415301,32.6530612244898,0.8427654984800103,-6.627866387921035,8.489796962961748,-4.884235533594173,-0.5172045143106067,7,151,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_retest,False,50,1.0,False,20,True,20,False,True,True,False,1.5,0.4,0.0,3.0,0.0,False,-5.068604240243962,949.3139575975604,98,0.2677595628415301,32.6530612244898,0.8427654984800103,-6.627866387921035,8.489796962961748,-4.884235533594173,-0.5172045143106067,7,151,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_retest,False,50,1.0,False,20,True,20,False,True,True,False,1.5,0.4,0.0,4.0,0.0,False,-5.068604240243962,949.3139575975604,98,0.2677595628415301,32.6530612244898,0.8427654984800103,-6.627866387921035,8.489796962961748,-4.884235533594173,-0.5172045143106067,7,151,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_retest,False,50,1.0,False,20,True,20,False,True,True,False,1.5,0.5,0.0,3.0,0.0,False,-5.068604240243962,949.3139575975604,98,0.2677595628415301,32.6530612244898,0.8427654984800103,-6.627866387921035,8.489796962961748,-4.884235533594173,-0.5172045143106067,7,151,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_retest,False,50,1.0,False,20,True,20,False,True,True,False,1.5,0.5,0.0,4.0,0.0,False,-5.068604240243962,949.3139575975604,98,0.2677595628415301,32.6530612244898,0.8427654984800103,-6.627866387921035,8.489796962961748,-4.884235533594173,-0.5172045143106067,7,151,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength_retest,False,50,1.0,False,20,True,20,True,True,True,True,1.3,0.5,0.0,3.0,0.0,False,-2.751661824919154,972.4833817508085,47,0.1284153005464481,31.914893617021278,0.8244310048184944,-5.395259350685371,8.614107598719245,-4.897757257186872,-0.5854599627487495,7,63,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength_retest,False,50,1.0,False,20,True,20,True,True,True,True,1.3,0.5,0.0,4.0,0.0,False,-2.751661824919154,972.4833817508085,47,0.1284153005464481,31.914893617021278,0.8244310048184944,-5.395259350685371,8.614107598719245,-4.897757257186872,-0.5854599627487495,7,63,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength_retest,False,50,1.0,False,20,True,20,True,True,True,True,1.5,0.5,0.0,3.0,0.0,False,-2.6370159286332635,973.6298407136674,44,0.12021857923497267,31.818181818181817,0.8201010595091534,-5.059604107173561,8.586644539404967,-4.8861060946000725,-0.5993218019621057,5,60,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_strength_retest,False,50,1.0,False,20,True,20,True,True,True,True,1.5,0.5,0.0,4.0,0.0,False,-2.6370159286332635,973.6298407136674,44,0.12021857923497267,31.818181818181817,0.8201010595091534,-5.059604107173561,8.586644539404967,-4.8861060946000725,-0.5993218019621057,5,60,False
