exit_time,entry_time,side,entry,sl,tp,exit,qty,pnl,fee,balance
2025-05-12 07:00:00,2025-05-12 03:00:00,SELL,103875.92591428572,104515.53162857144,102596.71448571428,104515.53162857144,0.006915989974378185,-5.0,0.5764932924449829,995.0
2025-05-12 14:30:00,2025-05-12 09:00:00,SELL,104399.32440714285,105287.6972642857,102622.57869285713,102622.57869285713,0.005117008942210156,8.667890536275157,0.4237331717584258,1003.6678905362752
2025-06-22 14:15:00,2025-06-22 13:15:00,SELL,101051.98835,101588.09835,99979.76835,99979.76835,0.008131263178284552,8.064646156652044,0.6538568483682276,1011.7325366929273
2025-07-29 14:45:00,2025-07-29 03:00:00,BUY,118416.17425714286,117796.55711428572,119655.40854285716,117796.55711428572,0.00708394741348289,-5.058662683464637,0.669327426972144,1006.6738740094627
2025-08-04 17:00:00,2025-08-04 13:45:00,BUY,114919.6814,114532.9214,115693.2014,115693.2014,0.010518156098517764,7.165755185477671,0.970248919847833,1013.8396291949404
2025-08-22 15:45:00,2025-08-22 14:00:00,BUY,115214.95041428572,114218.25612857143,117208.33898571429,117208.33898571429,0.004657188044422446,8.850609836889877,0.4329755858556073,1022.6902390318303
2025-08-25 20:00:00,2025-08-24 19:45:00,SELL,112582.79296428572,113729.92867857144,110288.52153571429,110288.52153571429,0.004131544913598782,9.11056431280549,0.36832113832381974,1031.8008033446358
2025-09-12 00:45:00,2025-09-11 13:45:00,BUY,114638.86965000001,113919.55965000001,116077.48965,116077.48965,0.006363379375611716,8.56723054838816,0.587254288954337,1040.368033893024
2025-12-07 18:00:00,2025-12-07 15:45:00,BUY,89567.95125714286,88672.53411428572,91358.78554285715,91358.78554285715,0.005380954177768185,9.246973839303216,0.38942339210157,1049.615007732327
2025-12-14 11:30:00,2025-12-10 21:00:00,SELL,92252.71902142857,93970.11759285713,88817.92187857143,88817.92187857143,0.002928796833010965,9.847695346187406,0.21212764784767424,1059.4627030785146
2025-12-18 13:30:00,2025-12-17 16:00:00,SELL,86952.31692142856,88531.85549285712,83793.23977857141,88531.85549285712,0.0032110141183435527,-5.297313515392573,0.22539286206724218,1054.165389563122
2026-01-27 18:45:00,2026-01-27 17:30:00,SELL,87348.70878571429,88246.12307142858,85553.88021428572,88246.12307142858,0.005447026160100772,-5.270826947815611,0.3825878570817415,1048.8945626153065
2026-02-16 13:15:00,2026-02-16 12:15:00,BUY,69512.49512857142,69013.48655714285,70510.51227142857,69013.48655714285,0.009459403722892149,-5.244472813076533,0.5241492747500541,1043.65008980223
2026-03-23 11:45:00,2026-03-23 11:00:00,BUY,70976.45190714287,70084.32476428573,72760.70619285715,70084.32476428573,0.005501283488223272,-5.21825044901115,0.3104061286153923,1038.431839353219
2026-04-05 16:45:00,2026-04-05 15:15:00,BUY,67504.33590714286,67214.60876428572,68083.79019285715,67214.60876428572,0.015110409664057156,-5.192159196766095,0.8142633773978942,1033.2396801564528
2026-04-26 22:30:00,2026-04-26 22:00:00,BUY,78576.71470714286,78097.06756428571,79536.00899285715,78097.06756428571,0.009526165840302001,-5.166198400782264,0.5970001730979985,1028.0734817556704
