ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,regime,use_atr_expansion,atr_ma_period,atr_expansion_ratio_min,use_bb_width,bb_length,use_donchian,donchian_n,use_breakout_strength_filter,use_fake_breakout_filter,use_retest_entry,use_zone_quality_score,tier_mode,tier_b_risk,breakout_body_mult,breakout_atr_mult,volume_spike_mult,zone_quality_min,chop_max,high_vol_day_only,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,tier_a_trades,tier_a_winrate,tier_a_profit_factor,tier_a_expectancy,tier_b_trades,tier_b_winrate,tier_b_profit_factor,tier_b_expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,hybrid_a_0.0025_b_0.0100,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,1.5,0.5,0.0,3.0,0.0,False,23.357485641935092,1233.574856419351,121,0.33060109289617484,44.62809917355372,1.5523001541856403,-5.913735073490221,12.157180558494845,-6.312132742378679,1.9303707142095055,67,40.298507462686565,1.1539250909727239,0.26383473000458596,54,50.0,1.7008039507624664,3.998109805723018,3,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,hybrid_a_0.0025_b_0.0075,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.0075,1.5,0.5,0.0,3.0,0.0,False,17.63081577323526,1176.3081577323526,121,0.33060109289617484,44.62809917355372,1.5259685551744706,-4.2379413108889965,9.472496451704645,-5.003084338204427,1.4570922126640842,67,40.298507462686565,1.1548257387316632,0.25696220053610297,54,50.0,1.7102065056887281,2.9461424128969504,3,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,hybrid_a_0.0050_b_0.0100,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.01,1.5,0.5,0.0,3.0,0.0,False,25.219910391479992,1252.1991039148,121,0.33060109289617484,44.62809917355372,1.4651218558933998,-5.168345360867669,14.71149400004364,-8.092859284888892,2.084290114998354,67,40.298507462686565,1.149944582197087,0.5187064178844577,54,50.0,1.7004278371841348,4.026773591047077,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,hybrid_a_0.0050_b_0.0075,False,50,1.0,False,20,True,20,False,False,False,False,hybrid,0.0075,1.5,0.5,0.0,3.0,0.0,False,19.40678049451037,1194.0678049451037,121,0.33060109289617484,44.62809917355372,1.4311507425827552,-4.115329028797108,11.929327887041062,-6.718147775449463,1.6038661565711019,67,40.298507462686565,1.1508601097072493,0.5052751339016702,54,50.0,1.7098142914671477,2.966932795809101,4,253,True
50/200,8,8,50,0.002,0.0025,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,tier_a_only_risk_0.0025,False,50,1.0,False,20,True,20,False,False,False,False,tier_a_only,0.0025,1.5,0.5,0.0,3.0,0.0,False,6.747181978610047,1067.4718197861005,121,0.33060109289617484,44.62809917355372,1.3868826297417005,-1.7010335905663858,4.479083321915605,-2.602965367124516,0.5576183453396707,121,44.62809917355372,1.3868826297417014,0.5576183453396717,0,0.0,0.0,0.0,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,tier_a_only_risk_0.0050,False,50,1.0,False,20,True,20,False,False,False,False,tier_a_only,0.005,1.5,0.5,0.0,3.0,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,121,44.62809917355372,1.3797001298222729,1.1394319842783864,0,0.0,0.0,0.0,4,253,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,tier_b_only_risk_0.0075,False,50,1.0,False,20,True,20,False,False,False,False,tier_b_only,0.0075,1.5,0.5,0.0,3.0,0.0,False,14.945722400155182,1149.4572240015518,63,0.1721311475409836,47.61904761904761,1.5455468626406446,-4.737499737596673,14.113858922921644,-8.30177405109389,2.3723368889135066,0,0.0,0.0,0.0,63,47.61904761904761,1.545546862640645,2.3723368889135084,3,101,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,tier_b_only_risk_0.0100,False,50,1.0,False,20,True,20,False,False,False,False,tier_b_only,0.01,1.5,0.5,0.0,3.0,0.0,False,20.224585478724407,1202.245854787244,63,0.1721311475409836,47.61904761904761,1.5353184551989172,-6.278567475023598,19.33502013780785,-11.448628768090618,3.2102516632896037,0,0.0,0.0,0.0,63,47.61904761904761,1.5353184551989174,3.2102516632896045,3,101,False
