ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,regime,use_atr_expansion,atr_ma_period,atr_expansion_ratio_min,use_bb_width,bb_length,use_donchian,donchian_n,chop_max,high_vol_day_only,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,20,0.0,False,13.787127009768438,1137.8712700976844,121,0.33060109289617484,44.62809917355372,1.379700129822273,-3.3857605592487614,9.277350745450715,-5.419487614278413,1.1394319842783875,4,253,True
50/200,8,8,50,0.002,0.005,1.5,fixed,20,True,False,False,all,0,0.5,prev_candle,chop_lt_45,False,50,1.0,False,20,False,20,45.0,False,12.991153717187103,1129.911537171871,213,0.5819672131147541,49.29577464788733,1.2329736272398768,-4.389738505285394,6.547951416311929,-5.16317927352667,0.6099133200557378,3,1014,True
50/200,8,8,50,0.002,0.005,1.5,fixed,20,True,False,False,all,0,0.5,prev_candle,atr_50_1.2_plus_chop50,True,50,1.2,False,20,False,20,50.0,False,11.282763942126758,1112.8276394212676,195,0.5327868852459017,49.23076923076923,1.2203146563604756,-4.968800066315342,6.509875858864408,-5.172933767976936,0.5786032790834182,3,935,True
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,False,all,0,0.5,prev_candle,atr_expansion_50_1.3,True,50,1.3,False,20,False,20,0.0,False,11.86285653475618,1118.6285653475618,189,0.5163934426229508,41.7989417989418,1.210857144002244,-9.84309366619077,8.623166575557319,-5.114559946558783,0.6276643669183175,4,1095,True
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_bb_donchian,True,50,1.1,True,20,True,20,0.0,False,10.859330378989625,1108.5933037898963,7,0.01912568306010929,14.285714285714285,17.85666188074312,-0.6442159459456889,115.03546324935326,-1.0736932432428217,15.513329112842332,2,84,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_bb_donchian,True,50,1.1,True,20,True,20,0.0,False,10.859330378989625,1108.5933037898963,7,0.01912568306010929,14.285714285714285,17.85666188074312,-0.6442159459456889,115.03546324935326,-1.0736932432428217,15.513329112842332,2,84,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian_100_high_vol,False,50,1.0,False,20,True,100,0.0,True,20.61237273519698,1206.1237273519698,9,0.02459016393442623,11.11111111111111,12.69646546652322,-1.762273636783027,223.7464637198,-2.202842045978785,22.90263637244108,2,114,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian_100_high_vol,False,50,1.0,False,20,True,100,0.0,True,20.61237273519698,1206.1237273519698,9,0.02459016393442623,11.11111111111111,12.69646546652322,-1.762273636783027,223.7464637198,-2.202842045978785,22.90263637244108,2,114,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,donchian_100,False,50,1.0,False,20,True,100,0.0,False,11.082159602476576,1110.8215960247658,8,0.02185792349726776,12.5,10.55345846404272,-1.1600154691819171,122.42175071658487,-1.6571649559741803,13.8526995030957,2,109,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,donchian_100,False,50,1.0,False,20,True,100,0.0,False,11.082159602476576,1110.8215960247658,8,0.02185792349726776,12.5,10.55345846404272,-1.1600154691819171,122.42175071658487,-1.6571649559741803,13.8526995030957,2,109,False
