ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,passes_robust_filter
50/200,16,12,50,0.002,0.01,-11.879403951269955,881.2059604873004,294,0.8032786885245902,34.35374149659864,0.9086365821145341,-21.338923677053494,11.697448891535924,-6.736976049522427,-0.4040613588867355,False
20/50,8,4,20,0.002,0.005,-13.835058078956433,861.6494192104357,336,0.9180327868852459,35.41666666666667,0.8145866004255147,-13.835058078956433,5.10775632530474,-3.438587942400133,-0.41175768092132375,False
20/50,16,4,20,0.001,0.005,-18.756237462544107,812.4376253745589,452,1.2349726775956285,37.610619469026545,0.8189520590571729,-21.69315067835969,4.990702595815079,-3.6736943826737765,-0.41496100580849893,False
20/50,8,4,50,0.002,0.005,-13.667070835821416,863.3292916417859,328,0.8961748633879781,34.756097560975604,0.8200201030527954,-14.217869345355611,5.462243978509593,-3.5484416911603183,-0.4166789888969954,False
20/50,16,4,50,0.002,0.005,-12.895585369059962,871.0441463094004,306,0.8360655737704918,35.294117647058826,0.8255052697664756,-13.356394293435562,5.648782325549536,-3.732446186110853,-0.42142435846600956,False
20/50,16,4,20,0.002,0.01,-14.439145171039113,855.6085482896088,318,0.8688524590163934,37.10691823899371,0.8982485473492443,-16.84756455670924,10.802278773978465,-7.095301735199245,-0.4540611689005979,False
50/200,16,12,20,0.002,0.005,-14.244204511035285,857.5579548896471,308,0.8415300546448088,32.467532467532465,0.8073143177012582,-15.235867766283413,5.968035667639578,-3.554065441703414,-0.46247417243620875,False
20/50,16,8,50,0.001,0.005,-22.36018804733923,776.3981195266077,440,1.2021857923497268,36.36363636363637,0.7713412688883567,-24.846645039086074,4.714267780517153,-3.4924454477004874,-0.5081860919849817,False
50/200,16,4,20,0.002,0.01,-15.441409946765077,845.5859005323492,303,0.8278688524590164,37.95379537953795,0.8788236344089526,-15.797596356895301,9.7380705808248,-6.778150086502676,-0.5096174899922479,False
50/200,16,8,20,0.002,0.01,-15.981417196372503,840.185828036275,311,0.8497267759562842,36.33440514469453,0.885446986696069,-18.15629455642737,10.931830569928447,-7.046015284674941,-0.5138719355746745,False
50/200,8,12,50,0.001,0.005,-23.43822054825913,765.6177945174087,455,1.2431693989071038,36.92307692307693,0.7766571457239182,-26.381516451344545,4.851462012684384,-3.6565429394200946,-0.515125726335364,False
20/50,16,12,20,0.001,0.005,-23.672810406686835,763.2718959331316,451,1.2322404371584699,34.368070953436806,0.7511211940138315,-24.23949998254336,4.609355700549503,-3.213439992067706,-0.5248960178866253,False
20/50,8,4,50,0.001,0.005,-23.762071809648923,762.3792819035108,451,1.2322404371584699,35.47671840354767,0.7624674311586759,-25.018988914653146,4.767189911074345,-3.4377013878638603,-0.5268752064223685,False
20/50,16,4,50,0.001,0.005,-23.890931996830865,761.0906800316914,451,1.2322404371584699,35.69844789356985,0.773066328717853,-25.790794668961954,5.055045101504438,-3.630246832105251,-0.5297324167811713,False
50/200,8,12,20,0.001,0.005,-24.746930179459035,752.5306982054096,467,1.2759562841530054,37.04496788008566,0.7630030110900554,-26.584511777141394,4.605307709860185,-3.551658284355112,-0.5299128518085462,False
20/50,16,12,50,0.002,0.005,-16.03173687721329,839.6826312278671,302,0.825136612021858,30.4635761589404,0.7654227203491532,-18.033679206481786,5.686016987637584,-3.254433007784718,-0.530852214477262,False
50/200,8,8,50,0.001,0.005,-24.14153781278678,758.5846218721322,450,1.2295081967213115,38.0,0.7535446551597971,-26.873977415123147,4.3165778059926,-3.510932555385671,-0.5364786180619278,False
