time,symbol,variant,strategy,balance,drawdown_pct
2025-04-03 12:20:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10101.439487700918,-0.8470400766984737
2025-04-03 12:30:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10075.509361312003,-0.8470400766984737
2025-04-11 13:30:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10075.509361312003,-0.8470400766984737
2025-04-21 13:00:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10049.426403587378,-1.0216064495203445
2025-04-23 13:25:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10060.246480011474,-1.0216064495203445
2025-04-23 13:35:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10104.462400283455,-1.0216064495203445
2025-04-23 13:45:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10104.462400283455,-1.0216064495203445
2025-04-25 13:20:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10104.462400283455,-1.0216064495203445
2025-04-30 12:00:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10078.871970540802,-1.0216064495203445
2025-04-30 12:15:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10052.70840843723,-1.0216064495203445
2025-04-30 12:20:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10052.70840843723,-1.0216064495203445
2025-05-02 13:00:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10027.003704442917,-1.2424511675424819
2025-05-08 13:30:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,10001.185597964839,-1.4967377905882713
2025-05-09 13:25:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,9975.320160237252,-1.7514905866127928
2025-05-14 12:50:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,9948.842154604496,-2.0122766610314513
2025-05-15 12:30:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,9947.189721422288,-2.028551737364765
2025-05-15 12:50:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,9990.578868666205,-2.028551737364765
2025-05-15 13:05:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,9990.578868666205,-2.028551737364765
2025-05-28 13:35:00+00:00,XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,9990.578868666205,-2.028551737364765
