bucket_type,bucket,trades,pnl,profit_factor,winrate,avg_r
side,BUY,52,74.80422357737534,1.1147650146179382,46.15384615384615,0.05754171044413489
side,SELL,51,525.8513524663505,2.0236435710827996,54.90196078431373,0.41243243330694146
weekday,Friday,27,144.18652073497424,1.498591432911663,51.85185185185185,0.21360966034811
weekday,Monday,17,176.70283868612324,2.0849012534479496,58.82352941176471,0.4157713851438194
weekday,Thursday,19,8.264348734742475,1.0324158028456825,42.10526315789473,0.017398628915247343
weekday,Tuesday,16,249.6371628143386,2.7446593856411905,56.25,0.6240929070358465
weekday,Wednesday,24,21.864705073547242,1.069321101382602,45.83333333333333,0.03644117512257869
hour_bucket,12:00,5,76.23896239720641,2.4163855585125353,60.0,0.6099116991776512
hour_bucket,12:05,5,-17.56208535718679,0.7387197294559733,40.0,-0.14049668285749436
hour_bucket,12:10,3,62.73009714549592,3.400921887096772,66.66666666666666,0.836401295273279
hour_bucket,12:15,4,102.9442986800326,4.868067837349277,75.0,1.029442986800326
hour_bucket,12:20,4,-106.67190509839166,0.0,0.0,-1.0667190509839166
hour_bucket,12:25,2,16.715915428993235,1.6248271124424691,50.0,0.3343183085798648
hour_bucket,12:30,6,-8.853227149374156,0.8891035175130988,33.33333333333333,-0.05902151432916101
hour_bucket,12:35,3,92.63591909628369,0.0,100.0,1.2351455879504492
hour_bucket,12:40,1,43.66026386916973,0.0,100.0,1.7464105547667892
hour_bucket,12:45,5,17.025152507641177,1.3264027710465496,60.0,0.1362012200611294
hour_bucket,12:50,6,-27.411709193072955,0.6574725202650593,33.33333333333333,-0.18274472795381969
hour_bucket,12:55,1,4.380354622469933,0.0,100.0,0.1752141848987973
hour_bucket,13:00,7,35.39060669604339,1.4522379699245822,57.14285714285714,0.20223203826310523
hour_bucket,13:05,4,21.254120811348745,1.7827045737483236,75.0,0.2125412081134874
hour_bucket,13:10,3,-80.34077665274893,0.0,0.0,-1.0712103553699859
hour_bucket,13:15,3,61.05330980122734,3.3281606086965327,66.66666666666666,0.8140441306830314
hour_bucket,13:20,4,105.85193408108356,5.1363875146125855,75.0,1.0585193408108355
hour_bucket,13:25,4,-17.213846049224585,0.7197800499644345,25.0,-0.17213846049224585
hour_bucket,13:30,9,113.11283924491102,2.3549955236496167,55.55555555555556,0.5027237299773825
hour_bucket,13:35,6,36.09009224358194,1.6791503133769463,50.0,0.240600614957213
hour_bucket,13:40,5,149.82293354969175,6.4951440352456284,80.0,1.198583468397534
hour_bucket,13:45,4,-21.822354559052147,0.6658703273893706,25.0,-0.21822354559052148
hour_bucket,13:50,6,3.9293891793569475,1.0704382110395225,50.0,0.02619592786237963
hour_bucket,13:55,3,-62.30470925176043,0.0,0.0,-0.830729456690139
