time,symbol,side,qty,entry_ref,sl,tp,score,type,dry_run,reason
2026-04-28T01:31:12,ETHUSDT,SELL,6.711,2283.95,2288.429464285714,2275.3494285714282,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T01:31:23,SOLUSDT,SELL,201.62,84.42,84.56910714285715,84.13371428571429,83,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T01:32:14,ETHUSDT,SELL,6.711,2283.95,2288.429464285714,2275.3494285714282,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T01:32:24,SOLUSDT,SELL,201.62,84.42,84.56910714285715,84.13371428571429,83,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T01:33:12,ETHUSDT,SELL,6.711,2283.95,2288.429464285714,2275.3494285714282,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T01:33:22,SOLUSDT,SELL,201.62,84.42,84.56910714285715,84.13371428571429,83,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T01:34:11,ETHUSDT,SELL,6.711,2283.95,2288.429464285714,2275.3494285714282,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T01:34:22,SOLUSDT,SELL,201.62,84.42,84.56910714285715,84.13371428571429,83,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T01:35:11,ETHUSDT,SELL,6.711,2283.95,2288.429464285714,2275.3494285714282,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:05:51,ETHUSDT,SELL,10.385,2285.48,2288.374642857143,2279.922285714286,75,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:06:02,SOLUSDT,SELL,249.41,84.41,84.5305357142857,84.17857142857143,83,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:06:49,ETHUSDT,SELL,10.385,2285.48,2288.374642857143,2279.922285714286,75,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:07:00,SOLUSDT,SELL,249.41,84.41,84.5305357142857,84.17857142857143,83,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:07:48,ETHUSDT,SELL,10.385,2285.48,2288.374642857143,2279.922285714286,75,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:07:58,SOLUSDT,SELL,249.41,84.41,84.5305357142857,84.17857142857143,83,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:08:47,ETHUSDT,SELL,10.385,2285.48,2288.374642857143,2279.922285714286,75,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:08:57,SOLUSDT,SELL,249.41,84.41,84.5305357142857,84.17857142857143,83,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:09:45,ETHUSDT,SELL,10.385,2285.48,2288.374642857143,2279.922285714286,75,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:09:56,SOLUSDT,SELL,249.41,84.41,84.5305357142857,84.17857142857143,83,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T02:10:49,SOLUSDT,SELL,259.0,84.4,84.51607142857144,84.17714285714287,73,trend,True,aligned trend
2026-04-28T02:11:40,SOLUSDT,SELL,259.0,84.4,84.51607142857144,84.17714285714287,73,trend,True,aligned trend
2026-04-28T02:12:32,SOLUSDT,SELL,259.0,84.4,84.51607142857144,84.17714285714287,73,trend,True,aligned trend
2026-04-28T02:13:23,SOLUSDT,SELL,259.0,84.4,84.51607142857144,84.17714285714287,73,trend,True,aligned trend
2026-04-28T02:14:15,SOLUSDT,SELL,259.0,84.4,84.51607142857144,84.17714285714287,73,trend,True,aligned trend
2026-04-28T02:15:06,SOLUSDT,SELL,259.0,84.4,84.51607142857144,84.17714285714287,73,trend,True,aligned trend
2026-04-28T02:20:29,SOLUSDT,SELL,275.99,84.34,84.44892857142858,84.13085714285714,80,trend,True,aligned trend
2026-04-28T02:21:21,SOLUSDT,SELL,275.99,84.34,84.44892857142858,84.13085714285714,80,trend,True,aligned trend
2026-04-28T02:22:14,SOLUSDT,SELL,275.99,84.34,84.44892857142858,84.13085714285714,80,trend,True,aligned trend
2026-04-28T02:23:05,SOLUSDT,SELL,275.99,84.34,84.44892857142858,84.13085714285714,80,trend,True,aligned trend
2026-04-28T02:23:57,SOLUSDT,SELL,275.99,84.34,84.44892857142858,84.13085714285714,80,trend,True,aligned trend
2026-04-28T02:24:48,SOLUSDT,SELL,275.99,84.34,84.44892857142858,84.13085714285714,80,trend,True,aligned trend
2026-04-28T02:25:38,SOLUSDT,SELL,253.16,84.16,84.27875,83.93199999999999,80,trend,True,aligned trend
2026-04-28T02:26:29,SOLUSDT,SELL,253.16,84.16,84.27875,83.93199999999999,80,trend,True,aligned trend
2026-04-28T02:27:20,SOLUSDT,SELL,253.16,84.16,84.27875,83.93199999999999,80,trend,True,aligned trend
2026-04-28T02:28:12,SOLUSDT,SELL,253.16,84.16,84.27875,83.93199999999999,80,trend,True,aligned trend
2026-04-28T02:29:03,SOLUSDT,SELL,253.16,84.16,84.27875,83.93199999999999,80,trend,True,aligned trend
2026-04-28T02:29:55,SOLUSDT,SELL,253.16,84.16,84.27875,83.93199999999999,80,trend,True,aligned trend
2026-04-28T02:30:44,ETHUSDT,SELL,10.175,2278.84,2281.794464285714,2273.167428571429,80,trend,True,aligned trend
2026-04-28T02:31:36,ETHUSDT,SELL,10.175,2278.84,2281.794464285714,2273.167428571429,80,trend,True,aligned trend
2026-04-28T02:32:29,ETHUSDT,SELL,10.175,2278.84,2281.794464285714,2273.167428571429,80,trend,True,aligned trend
