updated_at,market,symbol,blocked_by,count,pct
2026-05-07T22:30:35,forex_demo,USDJPY.sml,ADX_NOT_RISING,3,7.6923076923076925
2026-05-07T22:30:35,forex_demo,USDJPY.sml,NO_M1_CONFIRM,1,2.564102564102564
2026-05-07T22:30:35,forex_demo,USDJPYm,NO_DONCHIAN_BREAKOUT,580,91.48264984227129
2026-05-07T22:30:35,forex_demo,USDJPYm,NO_M15_TREND,28,4.416403785488959
2026-05-07T22:30:35,forex_demo,USDJPYm,NO_M1_CONFIRM,16,2.5236593059936907
2026-05-07T22:30:35,forex_demo,USDJPYm,ADX_NOT_RISING,9,1.4195583596214512
2026-05-07T22:30:35,forex_demo,USDJPYm,ADX_TOO_LOW,1,0.15772870662460567
2026-05-07T22:30:35,forex_demo,XAUUSD.sml,NO_DONCHIAN_BREAKOUT,35,89.74358974358975
2026-05-07T22:30:35,forex_demo,XAUUSD.sml,NO_M1_CONFIRM,3,7.6923076923076925
2026-05-07T22:30:35,forex_demo,XAUUSD.sml,NO_M15_TREND,1,2.564102564102564
2026-05-07T22:30:35,forex_demo,XAUUSDm,NO_DONCHIAN_BREAKOUT,555,87.81645569620254
2026-05-07T22:30:35,forex_demo,XAUUSDm,NO_M15_TREND,43,6.80379746835443
2026-05-07T22:30:35,forex_demo,XAUUSDm,ADX_NOT_RISING,19,3.0063291139240507
2026-05-07T22:30:35,forex_demo,XAUUSDm,ADX_TOO_LOW,8,1.2658227848101267
2026-05-07T22:30:35,forex_demo,XAUUSDm,NO_M1_CONFIRM,7,1.1075949367088607
