symbol,variant,strategy,timestamp,entry_time,exit_time,side,pattern,entry,sl,tp,rr,qty,spread,slippage,fee,gross_pnl,pnl,r_multiple,result,balance,atr,atr_percentile_100,m15_adx
XAUUSDm,candidate_current,momentum,2025-01-03 13:15:00+00:00,2025-01-03 13:20:00+00:00,2025-01-03 16:50:00+00:00,SELL,session_breakout,2652.005430036269,2658.656,2640.0344041015533,1.8,3.7590763102016957,0.04961357142857001,0.04176317801689456,1.98931815731512,45.0,43.01068184268488,1.7204272737073953,TP,10043.010681842685,1.653785714285667,73.0,20.836599199556407
XAUUSDm,candidate_current,momentum,2025-01-06 13:30:00+00:00,2025-01-06 13:35:00+00:00,2025-01-06 14:15:00+00:00,SELL,session_breakout,2638.225875719044,2648.848,2619.106052013323,1.8,2.353578186316398,0.09765428571428304,0.05929713809885488,1.2373541743335637,45.00000000000021,43.76264582566665,1.750505833026666,TP,10086.773327668352,3.255142857142768,99.0,33.51748168707531
XAUUSDm,candidate_current,momentum,2025-01-07 13:10:00+00:00,2025-01-07 13:15:00+00:00,2025-01-07 15:00:00+00:00,BUY,session_breakout,2654.9791208801166,2647.585,2668.2885384643264,1.8,3.3810645518694584,0.06860785714285579,0.061816951545560016,1.79283115831226,-25.0,-26.79283115831226,-1.0717132463324903,SL,10059.98049651004,2.2869285714285263,100.0,29.35827353571139
XAUUSDm,candidate_current,momentum,2025-01-13 12:00:00+00:00,2025-01-13 12:05:00+00:00,2025-01-13 17:35:00+00:00,SELL,session_breakout,2673.064954967965,2680.55,2659.591873910302,1.8,3.3399932656387783,0.06136285714285707,0.048363603463073,1.7811037896416055,44.999999999999694,43.21889621035809,1.7287558484143235,TP,10103.199392720397,2.045428571428569,66.0,19.272499199964653
XAUUSDm,candidate_current,momentum,2025-01-15 13:55:00+00:00,2025-01-15 14:00:00+00:00,2025-01-15 14:30:00+00:00,BUY,session_breakout,2693.9235412198063,2682.127,2715.157315415458,1.8,2.119265260398956,0.10109571428571404,0.03699336266367949,1.1393277150156143,-25.0,-26.139327715015614,-1.0455731086006246,SL,10077.06006500538,3.3698571428571347,100.0,29.527297783745972
XAUUSDm,candidate_current,momentum,2025-01-16 13:30:00+00:00,2025-01-16 13:35:00+00:00,2025-01-17 01:35:00+00:00,BUY,session_breakout,2713.597716646188,2701.388,2735.5752066093264,1.8,2.047549564371345,0.07803214285714083,0.07670057475941956,1.110873182781847,-3.719817377488553,-4.8306905602704,-0.19322762241081598,TIMEOUT,10072.229374445109,2.601071428571361,100.0,29.035232131775437
XAUUSDm,candidate_current,momentum,2025-01-23 13:10:00+00:00,2025-01-23 13:15:00+00:00,2025-01-23 14:30:00+00:00,SELL,session_breakout,2740.6604500907943,2746.514,2730.124060254224,1.8,4.27091258941562,0.08819785714285834,0.07345098063418955,2.3435242439212507,-25.0,-27.34352424392125,-1.09374096975685,SL,10044.885850201188,2.9399285714286116,100.0,21.034694030739566
XAUUSDm,candidate_current,momentum,2025-01-24 13:40:00+00:00,2025-01-24 13:45:00+00:00,2025-01-24 14:15:00+00:00,BUY,session_breakout,2783.989965984538,2777.85,2795.041904756706,1.8,4.071683794821815,0.05255785714285528,0.044687055966147325,2.264605365889156,-25.0,-27.264605365889157,-1.0905842146355662,SL,10017.621244835298,1.7519285714285096,50.0,34.62164324979766
XAUUSDm,candidate_current,momentum,2025-01-30 13:00:00+00:00,2025-01-30 13:05:00+00:00,2025-01-30 15:10:00+00:00,BUY,session_breakout,2782.0784600846373,2777.714,2789.9344882369846,1.8,5.728085379449001,0.03985714285714169,0.015531513208790131,3.191696590338161,45.00000000000052,41.80830340966236,1.6723321363864943,TP,10059.42954824496,1.3285714285713897,54.0,44.63844601034202
XAUUSDm,candidate_current,momentum,2025-02-03 12:35:00+00:00,2025-02-03 12:40:00+00:00,2025-02-03 14:45:00+00:00,BUY,session_breakout,2808.063664237018,2800.096,2822.405459863651,1.8,3.137682419378147,0.06067071428571547,0.037328879875170806,1.7666623983542145,44.999999999999424,43.23333760164521,1.7293335040658084,TP,10102.662885846605,2.0223571428571825,47.0,32.5962657261514
