symbol,variant,strategy,timestamp,entry_time,exit_time,side,pattern,entry,sl,tp,rr,qty,spread,slippage,fee,gross_pnl,pnl,r_multiple,result,balance,atr,atr_percentile_100,m15_adx
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02-11 12:45:00+00:00,2025-02-11 12:50:00+00:00,2025-02-11 13:00:00+00:00,SELL,session_breakout,2896.6843977746867,2904.236,2885.356994436717,1.5,3.3105557276572624,0.08019428571428665,0.06750508245602405,1.9141770248536834,37.5,35.585822975146314,1.4234329190058526,TP,10035.585822975147,2.673142857142888,57.99999999999999,33.99080280425428
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04-02 12:25:00+00:00,2025-04-02 12:30:00+00:00,2025-04-02 13:50:00+00:00,BUY,session_breakout,3125.9308471924755,3117.046,3139.258117981189,1.5,2.8137793997370792,0.08566285714285543,0.052015763904148166,1.7566359645665726,-25.0,-26.756635964566573,-1.0702654385826629,SL,10008.82918701058,2.8554285714285146,72.0,23.02494613702874
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05-15 12:50:00+00:00,2025-05-15 12:55:00+00:00,2025-05-15 14:10:00+00:00,BUY,session_breakout,3188.6844156166035,3177.747,3205.090539041509,1.5,2.285731920258068,0.1302021428571457,0.11731454517474868,1.461445550480863,37.50000000000052,36.03855444951966,1.4415421779807864,TP,10044.8677414601,4.340071428571524,65.0,28.573355861432
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-10-16 15:50:00+00:00,2025-10-16 15:55:00+00:00,2025-10-16 16:20:00+00:00,BUY,session_breakout,4275.822140129222,4266.512,4289.787350323056,1.5,2.6852442232883984,0.1421721428571501,0.11205405779315099,2.300075340318126,37.5,35.19992465968188,1.407996986387275,TP,10080.067666119783,4.739071428571671,62.0,22.457971902325014
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03-20 13:30:00+00:00,2026-03-20 13:35:00+00:00,2026-03-20 14:14:00+00:00,SELL,session_breakout,4644.9256685255905,4681.746,4589.695171313976,1.5,0.6789727033656711,0.32604642857143384,0.11930826012319846,0.6270055476182834,37.5,36.87299445238172,1.4749197780952688,TP,10116.940660572165,10.868214285714462,70.0,18.014851889985096
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02-11 12:45:00+00:00,2025-02-11 12:50:00+00:00,2025-02-11 13:00:00+00:00,SELL,session_breakout,2896.6843977746867,2904.236,2885.356994436717,1.5,3.3105557276572624,0.08019428571428665,0.06750508245602405,1.9141770248536834,37.5,35.585822975146314,1.4234329190058526,TP,10035.585822975147,2.673142857142888,57.99999999999999,33.99080280425428
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04-02 12:25:00+00:00,2025-04-02 12:30:00+00:00,2025-04-02 13:50:00+00:00,BUY,session_breakout,3125.9308471924755,3117.046,3139.258117981189,1.5,2.8137793997370792,0.08566285714285543,0.052015763904148166,1.7566359645665726,-25.0,-26.756635964566573,-1.0702654385826629,SL,10008.82918701058,2.8554285714285146,72.0,23.02494613702874
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05-15 12:50:00+00:00,2025-05-15 12:55:00+00:00,2025-05-15 14:10:00+00:00,BUY,session_breakout,3188.6844156166035,3177.747,3205.090539041509,1.5,2.285731920258068,0.1302021428571457,0.11731454517474868,1.461445550480863,37.50000000000052,36.03855444951966,1.4415421779807864,TP,10044.8677414601,4.340071428571524,65.0,28.573355861432
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-10-16 15:50:00+00:00,2025-10-16 15:55:00+00:00,2025-10-16 16:20:00+00:00,BUY,session_breakout,4275.822140129222,4266.512,4289.787350323056,1.5,2.6852442232883984,0.1421721428571501,0.11205405779315099,2.300075340318126,37.5,35.19992465968188,1.407996986387275,TP,10080.067666119783,4.739071428571671,62.0,22.457971902325014
XAUUSDm,grid_thai_19_23_rr1.5_body2_wick0.4_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03-20 13:30:00+00:00,2026-03-20 13:35:00+00:00,2026-03-20 14:14:00+00:00,SELL,session_breakout,4644.9256685255905,4681.746,4589.695171313976,1.5,0.6789727033656711,0.32604642857143384,0.11930826012319846,0.6270055476182834,37.5,36.87299445238172,1.4749197780952688,TP,10116.940660572165,10.868214285714462,70.0,18.014851889985096
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02-11 12:45:00+00:00,2025-02-11 12:50:00+00:00,2025-02-11 13:15:00+00:00,SELL,session_breakout,2896.6843977746867,2904.236,2883.0915137691227,1.8,3.3105557276572624,0.08019428571428665,0.06750508245602405,1.9134270248536833,45.000000000000604,43.08657297514692,1.7234629190058768,TP,10043.086572975148,2.673142857142888,57.99999999999999,33.99080280425428
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04-02 12:25:00+00:00,2025-04-02 12:30:00+00:00,2025-04-02 13:50:00+00:00,BUY,session_breakout,3125.9308471924755,3117.046,3141.923572138932,1.8,2.8137793997370792,0.08566285714285543,0.052015763904148166,1.7566359645665726,-25.0,-26.756635964566573,-1.0702654385826629,SL,10016.329937010581,2.8554285714285146,72.0,23.02494613702874
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05-15 12:50:00+00:00,2025-05-15 12:55:00+00:00,2025-05-15 15:05:00+00:00,BUY,session_breakout,3188.6844156166035,3177.747,3208.37176372649,1.8,2.285731920258068,0.1302021428571457,0.11731454517474868,1.462195550480863,44.99999999999979,43.53780444951892,1.7415121779807572,TP,10059.8677414601,4.340071428571524,65.0,28.573355861432
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03-20 13:30:00+00:00,2026-03-20 13:35:00+00:00,2026-03-20 14:15:00+00:00,SELL,session_breakout,4644.788000808449,4681.746,4578.263602263658,1.8,0.6764435452911497,0.32604642857143384,0.25697597726372395,0.6238873724785318,45.00000000000012,44.376112627521586,1.7750445051008634,TP,10104.243854087623,10.868214285714462,70.0,18.014851889985096
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02-11 12:45:00+00:00,2025-02-11 12:50:00+00:00,2025-02-11 13:15:00+00:00,SELL,session_breakout,2896.6843977746867,2904.236,2883.0915137691227,1.8,3.3105557276572624,0.08019428571428665,0.06750508245602405,1.9134270248536833,45.000000000000604,43.08657297514692,1.7234629190058768,TP,10043.086572975148,2.673142857142888,57.99999999999999,33.99080280425428
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04-02 12:25:00+00:00,2025-04-02 12:30:00+00:00,2025-04-02 13:50:00+00:00,BUY,session_breakout,3125.9308471924755,3117.046,3141.923572138932,1.8,2.8137793997370792,0.08566285714285543,0.052015763904148166,1.7566359645665726,-25.0,-26.756635964566573,-1.0702654385826629,SL,10016.329937010581,2.8554285714285146,72.0,23.02494613702874
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05-15 12:50:00+00:00,2025-05-15 12:55:00+00:00,2025-05-15 15:05:00+00:00,BUY,session_breakout,3188.6844156166035,3177.747,3208.37176372649,1.8,2.285731920258068,0.1302021428571457,0.11731454517474868,1.462195550480863,44.99999999999979,43.53780444951892,1.7415121779807572,TP,10059.8677414601,4.340071428571524,65.0,28.573355861432
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.5_close20_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03-20 13:30:00+00:00,2026-03-20 13:35:00+00:00,2026-03-20 14:15:00+00:00,SELL,session_breakout,4644.788000808449,4681.746,4578.263602263658,1.8,0.6764435452911497,0.32604642857143384,0.25697597726372395,0.6238873724785318,45.00000000000012,44.376112627521586,1.7750445051008634,TP,10104.243854087623,10.868214285714462,70.0,18.014851889985096
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-02-11 12:45:00+00:00,2025-02-11 12:50:00+00:00,2025-02-11 13:15:00+00:00,SELL,session_breakout,2896.6843977746867,2904.236,2883.0915137691227,1.8,3.3105557276572624,0.08019428571428665,0.06750508245602405,1.9134270248536833,45.000000000000604,43.08657297514692,1.7234629190058768,TP,10043.086572975148,2.673142857142888,57.99999999999999,33.99080280425428
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-04-02 12:25:00+00:00,2025-04-02 12:30:00+00:00,2025-04-02 13:50:00+00:00,BUY,session_breakout,3125.9308471924755,3117.046,3141.923572138932,1.8,2.8137793997370792,0.08566285714285543,0.052015763904148166,1.7566359645665726,-25.0,-26.756635964566573,-1.0702654385826629,SL,10016.329937010581,2.8554285714285146,72.0,23.02494613702874
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2025-05-15 12:50:00+00:00,2025-05-15 12:55:00+00:00,2025-05-15 15:05:00+00:00,BUY,session_breakout,3188.6844156166035,3177.747,3208.37176372649,1.8,2.285731920258068,0.1302021428571457,0.11731454517474868,1.462195550480863,44.99999999999979,43.53780444951892,1.7415121779807572,TP,10059.8677414601,4.340071428571524,65.0,28.573355861432
XAUUSDm,grid_thai_19_21_rr1.8_body2_wick0.4_closeOff_ext2_ema20_50_atrMin50_atrMax90,momentum,2026-03-20 13:30:00+00:00,2026-03-20 13:35:00+00:00,2026-03-20 14:15:00+00:00,SELL,session_breakout,4644.788000808449,4681.746,4578.263602263658,1.8,0.6764435452911497,0.32604642857143384,0.25697597726372395,0.6238873724785318,45.00000000000012,44.376112627521586,1.7750445051008634,TP,10104.243854087623,10.868214285714462,70.0,18.014851889985096
