month,trades,pf,pnl,avg_r,buy_pf,sell_pf
2025-01,3,3.1537454590148446,58.885802744570974,0.7851440365942798,0.0,3.1537454590148446
2025-02,4,4.981109955983298,104.42049275529146,1.0442049275529144,0.0,4.981109955983298
2025-03,2,0.0,-39.8696337299978,-0.7973926745999561,0.0,0.0
2025-04,4,0.5691767316524275,-33.46640187569325,-0.33466401875693247,0.0,0.5691767316524275
2025-05,3,1.594223059794387,16.291141936878244,0.21721522582504327,0.0,1.594223059794387
2025-06,5,0.09963559433024831,-50.58533880081481,-0.40468271040651843,0.0,0.09963559433024831
2025-07,6,2.502951647531811,81.1923236685672,0.5412821577904481,0.0,2.502951647531811
2025-09,2,0.0,-53.770110037734284,-1.0754022007546855,0.0,0.0
2025-10,2,0.0,60.07856503625522,1.2015713007251045,0.0,0.0
2025-11,2,4.9354976835149955,35.373560954242954,0.7074712190848591,0.0,4.9354976835149955
2025-12,1,0.0,44.42919705843165,1.7771678823372659,0.0,0.0
2026-01,2,1.6805122852521832,18.1137241378153,0.3622744827563059,0.0,1.6805122852521832
2026-02,2,4.774471830692143,34.6856758665658,0.693713517331316,0.0,4.774471830692143
2026-03,4,0.0,137.97523541268646,1.3797523541268646,0.0,0.0
2026-04,1,0.0,-25.95039548887118,-1.0380158195548472,0.0,0.0
