symbol,variant,strategy,timestamp,entry_time,exit_time,side,pattern,entry,sl,tp,rr,qty,spread,slippage,fee,gross_pnl,pnl,r_multiple,result,balance,atr,atr_percentile_100,m15_adx,m15_rsi14,m15_macd_hist,m15_bb_pct
XAUUSDm,sell_baseline,momentum,2025-01-03 13:15:00+00:00,2025-01-03 13:20:00+00:00,2025-01-03 16:50:00+00:00,SELL,session_breakout,2652.005430036269,2658.656,2640.0344041015533,1.8,3.7590763102016957,0.04961357142857001,0.04176317801689456,1.98931815731512,45.0,43.01068184268488,1.7204272737073953,TP,10043.010681842685,1.653785714285667,73.0,20.836599199556407,46.17840403794496,0.2613486762548767,0.5244962629814695
XAUUSDm,sell_baseline,momentum,2025-01-06 13:30:00+00:00,2025-01-06 13:35:00+00:00,2025-01-06 14:15:00+00:00,SELL,session_breakout,2638.225875719044,2648.848,2619.106052013323,1.8,2.353578186316398,0.09765428571428304,0.05929713809885488,1.2373541743335637,45.00000000000021,43.76264582566665,1.750505833026666,TP,10086.773327668352,3.255142857142768,99.0,33.51748168707531,56.275986315920264,0.7939140510395979,0.662007534632952
XAUUSDm,sell_baseline,momentum,2025-01-13 12:00:00+00:00,2025-01-13 12:05:00+00:00,2025-01-13 17:35:00+00:00,SELL,session_breakout,2673.0580294992337,2680.55,2659.572482597854,1.8,3.3369058243678893,0.06136285714285707,0.0552890721947306,1.7794485815018692,45.0,43.22055141849813,1.7288220567399253,TP,10129.993879086851,2.045428571428569,66.0,19.272499199964653,29.742003769230635,-0.8310377867980376,0.053679440755844784
XAUUSDm,sell_baseline,momentum,2025-01-23 13:10:00+00:00,2025-01-23 13:15:00+00:00,2025-01-23 14:30:00+00:00,SELL,session_breakout,2740.6643872582235,2746.514,2730.1350843230257,1.8,4.273787189612704,0.08819785714285834,0.06951381320493961,2.3451032698583893,-25.0,-27.345103269858388,-1.0938041307943356,SL,10102.648775816993,2.9399285714286116,100.0,21.034694030739566,38.04067255800109,-0.48469859800545245,0.2035148580036898
XAUUSDm,sell_baseline,momentum,2025-02-11 12:45:00+00:00,2025-02-11 12:50:00+00:00,2025-02-11 13:15:00+00:00,SELL,session_breakout,2896.7225578318275,2904.236,2883.1983619291173,1.8,3.3273697248782215,0.08019428571428665,0.02934502531530715,1.9231933880602854,45.000000000000306,43.07680661194002,1.7230722644776009,TP,10145.725582428933,2.673142857142888,57.99999999999999,33.99080280425428,32.94543234643815,-0.3521815151620178,0.08929286822643502
XAUUSDm,sell_baseline,momentum,2025-02-12 13:15:00+00:00,2025-02-12 13:20:00+00:00,2025-02-12 14:00:00+00:00,SELL,session_breakout,2874.132785150998,2885.902,2852.948198422795,1.8,2.1241858799204643,0.08443714285714382,0.0829962775729859,1.2235384558468456,-25.0,-26.223538455846846,-1.0489415382338738,SL,10119.502043973087,2.814571428571461,97.0,21.687231563201554,38.703743236227076,-0.21785103137107997,0.13171253003789052
XAUUSDm,sell_baseline,momentum,2025-02-13 13:00:00+00:00,2025-02-13 13:05:00+00:00,2025-02-13 18:50:00+00:00,SELL,session_breakout,2913.972054534422,2921.369,2900.6575526963816,1.8,3.379773464106024,0.06448499999999967,0.05370296557799326,1.9722130850123905,-25.0,-26.972213085012392,-1.0788885234004957,SL,10092.529830888074,2.149499999999989,60.0,18.43714716473585,55.07719547990637,0.09085271035550369,0.6755273122060891
XAUUSDm,sell_baseline,momentum,2025-02-14 13:40:00+00:00,2025-02-14 13:45:00+00:00,2025-02-14 16:45:00+00:00,SELL,session_breakout,2917.8291880054317,2933.321,2889.943926415209,1.8,1.6137557058377363,0.10798928571428665,0.09181735171093464,0.937232700160731,45.0,44.062767299839265,1.7625106919935707,TP,10136.592598187914,3.5996428571428885,100.0,18.863435153374482,38.3772446518707,-1.0692048219661572,0.03008536303792494
XAUUSDm,sell_baseline,momentum,2025-02-28 12:50:00+00:00,2025-02-28 12:55:00+00:00,2025-02-28 14:40:00+00:00,SELL,session_breakout,2855.041569152536,2864.502,2838.0127936271006,1.8,2.6425857768096703,0.06792428571428445,0.0264687046071094,1.504438448568571,45.0,43.49556155143143,1.739822462057257,TP,10180.088159739345,2.264142857142815,71.0,21.169540131150995,36.622768860402836,0.18180995377507525,0.18667847364227183
XAUUSDm,sell_baseline,momentum,2025-03-03 13:05:00+00:00,2025-03-03 13:10:00+00:00,2025-03-03 14:30:00+00:00,SELL,session_breakout,2871.0501977842096,2877.716,2859.051753795787,1.8,3.750486316677468,0.057207857142854465,0.03519828721885243,2.156066896256763,-25.0,-27.156066896256764,-1.0862426758502706,SL,10152.932092843088,1.9069285714284823,70.0,19.71262015212677,63.26328671101052,0.5544488539913344,0.7976623929737864
XAUUSDm,sell_baseline,momentum,2025-03-05 13:30:00+00:00,2025-03-05 13:35:00+00:00,2025-03-05 15:05:00+00:00,SELL,session_breakout,2908.679267955909,2917.269,2893.2177502765453,1.8,2.9104516731925636,0.08657571428571535,0.048444186948282,1.6956140884405593,-25.0,-26.69561408844056,-1.0678245635376225,SL,10126.236478754647,2.8858571428571786,100.0,18.538773727042578,43.93629023328979,-0.3781006787172526,0.14282743569313303
XAUUSDm,sell_baseline,momentum,2025-03-21 13:45:00+00:00,2025-03-21 13:50:00+00:00,2025-03-23 22:05:00+00:00,SELL,session_breakout,3010.6389837290335,3036.851,2963.457354441294,1.8,0.9537610438496069,0.11942571428571715,0.11330341382348241,0.5755493893856891,-12.633534305446096,-13.209083694831785,-0.5283633477932714,TIMEOUT,10113.027395059815,3.9808571428572384,100.0,18.011965333720443,24.904046949468253,-1.1214333931096045,-0.4606342621081753
XAUUSDm,sell_baseline,momentum,2025-03-26 13:00:00+00:00,2025-03-26 13:05:00+00:00,2025-03-26 14:00:00+00:00,SELL,session_breakout,3024.7862417048646,3029.994,3015.4122767736203,1.8,4.800530013720441,0.06616928571428649,0.04967365227874255,2.899615427678571,45.00000000000087,42.1003845723223,1.684015382892892,TP,10155.127779632137,2.205642857142883,100.0,19.750277906197685,56.18747599344997,0.33536904822330094,0.67074383116808
XAUUSDm,sell_baseline,momentum,2025-04-03 12:20:00+00:00,2025-04-03 12:25:00+00:00,2025-04-03 14:00:00+00:00,SELL,session_breakout,3080.657633237676,3097.309,3050.6851730654917,1.8,1.5013782566224716,0.14053499999999824,0.12309926232470972,0.9275464773282184,-25.0,-25.927546477328217,-1.0371018590931287,SL,10129.200233154808,4.684499999999941,68.0,45.51265925747012,23.930871866694673,-2.5248489201079405,0.10188674597702356
XAUUSDm,sell_baseline,momentum,2025-04-23 13:25:00+00:00,2025-04-23 13:30:00+00:00,2025-04-23 14:00:00+00:00,SELL,session_breakout,3299.66637035063,3320.54,3262.0938369817645,1.8,1.1976834129925622,0.2031985714285695,0.124030363655571,0.7858911360356645,44.99999999999989,44.21410886396423,1.7685643545585692,TP,10173.414342018772,6.773285714285651,78.0,22.560104668224394,38.472119460777044,-1.5238509308195778,-0.0667903918190932
XAUUSDm,sell_baseline,momentum,2025-04-25 13:20:00+00:00,2025-04-25 13:25:00+00:00,2025-04-25 19:30:00+00:00,SELL,session_breakout,3270.434114314078,3298.252,3220.361920079419,1.8,0.8987023773935546,0.20633142857142858,0.09471997163624747,0.5903293827286094,-25.0,-25.59032938272861,-1.0236131753091444,SL,10147.824012636043,6.877714285714286,89.0,31.5080885248663,34.915030921356276,0.11248768477733417,-0.11665859705515962
XAUUSDm,sell_baseline,momentum,2025-04-30 12:00:00+00:00,2025-04-30 12:05:00+00:00,2025-04-30 12:15:00+00:00,SELL,session_breakout,3267.59205651094,3281.671,3242.2499582306323,1.8,1.7757014238622706,0.11945999999999815,0.08221348905983687,1.1629535734695042,-25.0,-26.162953573469505,-1.0465181429387802,SL,10121.661059062573,3.9819999999999385,85.0,43.24131785778276,32.44409341388052,-0.061827532356907966,0.234740852006713
XAUUSDm,sell_baseline,momentum,2025-05-02 13:00:00+00:00,2025-05-02 13:05:00+00:00,2025-05-02 14:55:00+00:00,SELL,session_breakout,3244.048784019952,3263.926,3208.269795255866,1.8,1.257721404501228,0.15889714285714296,0.0547674086190981,0.818521918581615,-25.0,-25.818521918581617,-1.0327408767432646,SL,10095.842537143992,5.296571428571432,100.0,20.422343309001352,39.731321337788366,-1.539648964363431,-0.16645070860980468
XAUUSDm,sell_baseline,momentum,2025-05-14 12:50:00+00:00,2025-05-14 12:55:00+00:00,2025-05-15 00:55:00+00:00,SELL,session_breakout,3186.1486760651837,3221.493,3122.5288929825147,1.8,0.7073271523344532,0.21265500000000104,0.18699643481605868,0.450848677132741,-1.1878314166606592,-1.6386800937934,-0.065547203751736,TIMEOUT,10094.203857050199,7.088500000000034,100.0,20.548243138493692,21.7966907090199,-3.1392402524396763,-0.24799634771238527
