variant,total_trades,winrate,profit_factor,profit_pct,max_drawdown,expectancy,avg_r,trades_per_day,worst_month,positive_months,max_consecutive_losses,drop_best_1_pf,drop_best_1_profit_pct,drop_best_2_pf,drop_best_2_profit_pct,buy_pf,buy_pnl,buy_trades,sell_pf,sell_pnl,sell_trades,recent_pf,recent_profit_pct,recent_max_drawdown,recent_trades,recent_avg_r,recent_issue,stress_pf,final_verdict
sell_rsi_lt50,43,53.48837209302325,1.8950896496048653,3.8780383963819802,-1.1140870310982531,9.018693945074277,0.36074775780297114,0.08739837398373984,-53.770110037734284,10,4,1.5766291484532746,2.4982860422550752,1.3572435176773723,1.4540811147021602,0.0,0.0,0,1.8950896496048653,387.80383963819395,43,0.0,-0.25950040108698885,-0.25950040108698885,1,-1.0380016043479687,low_trade_count,1.8885538788973852,PASS_DRY_RUN_CANDIDATE
sell_baseline,51,52.94117647058824,1.8446854097134218,4.555939071314515,-0.9664148904140123,8.933213865322607,0.3573285546129043,0.10365853658536585,-53.74956398656366,10,4,1.6684439995733082,3.433803665462116,1.46523424426381,2.389913073153959,0.0,0.0,0,1.8446854097134218,455.59390713145297,51,0.0,-0.25950040108698885,-0.25950040108698885,1,-1.0380016043479687,low_trade_count,1.8404142937696724,PASS_DRY_RUN_CANDIDATE
sell_bb_top65,8,50.0,1.6408349137220148,0.6792268986980343,-0.5389103452054549,8.490336233725692,0.33961344934902765,0.016260162601626018,-26.976104175696733,4,2,1.2233329406469335,0.23671266562504456,0.8101362561565356,-0.2012383519446314,0.0,0.0,0,1.6408349137220148,67.92268986980554,8,0.0,0.0,0.0,0,0.0,low_trade_count,1.6404254295403662,FAIL
buy_macd_pos,36,58.333333333333336,1.5567250902930674,2.0679072251544315,-0.7758863061582751,5.744186736540095,0.22976746946160376,0.07317073170731707,-54.063137043132365,10,4,1.272590408511876,0.9374444863466332,1.0676219272519656,0.21385516141251043,1.5567250902930674,206.7907225154434,36,0.0,0.0,0,0.1627140981891119,-0.43239624579535296,-0.5163452523619293,4,-0.43239624579533575,low_trade_count,1.546390455189819,PASS_DRY_RUN_CANDIDATE
both_baseline,103,50.48543689320388,1.515359067739992,6.006555760437259,-2.028551737364765,5.831607534405104,0.23326430137620416,0.20934959349593496,-75.94178639440621,9,7,1.3009278459532847,3.5073408032059996,1.1848649736718402,2.0036029623816143,1.1147650146179382,74.80422357737534,52,2.0236435710827996,525.8513524663505,51,0.10957919952328128,-0.6909043349916101,-0.7758087493233438,5,-0.5527234679932798,broken_recent_edge,1.4399644014121356,FAIL
buy_rsi_macd,32,56.25,1.409431105426757,1.515884633383357,-0.7892389184790772,4.737139479323015,0.18948557917292055,0.06504065040650407,-54.063137043132365,9,3,1.1389413292881614,0.47616700749811053,0.931815706928768,-0.21481920936273613,1.409431105426757,151.58846333833648,32,0.0,0.0,0,0.1627140981891119,-0.43239624579535296,-0.5163452523619293,4,-0.43239624579533575,low_trade_count,1.4028417745287023,FAIL
both_rsi_macd,69,50.72463768115942,1.397928050725126,3.1953117033973832,-1.6800799010482956,4.630886526662863,0.1852354610665146,0.1402439024390244,-78.08587804511451,10,6,1.1764611739500084,1.4169608131174152,1.0112158015904464,0.0838706004247889,1.410123112921267,151.84976509477542,32,1.3874937418870716,167.68140524496215,37,0.10945159311964074,-0.6918089691921887,-0.7767132419998998,5,-0.5534471753537419,broken_recent_edge,1.3921289829569052,FAIL
sell_macd_neg,37,45.94594594594595,1.3878697253401162,1.6781955413009202,-1.338375220900985,4.535663625137569,0.18142654500550273,0.07520325203252033,-65.90831088018194,9,4,1.0791677600355896,0.3425350658394506,0.9259625712539011,-0.29995245259911335,0.0,0.0,0,1.3878697253401162,167.81955413009004,37,0.0,-0.2604035538168864,-0.2604035538168864,1,-1.041614215267534,low_trade_count,1.3829820329226976,FAIL
sell_rsi_macd,37,45.94594594594595,1.3878697253401162,1.6781955413009202,-1.338375220900985,4.535663625137569,0.18142654500550273,0.07520325203252033,-65.90831088018194,9,4,1.0791677600355896,0.3425350658394506,0.9259625712539011,-0.29995245259911335,0.0,0.0,0,1.3878697253401162,167.81955413009004,37,0.0,-0.2604035538168864,-0.2604035538168864,1,-1.041614215267534,low_trade_count,1.3829820329226976,FAIL
buy_rsi_gt50,37,51.35135135135135,1.3150237610787712,1.3506485638907544,-0.9445295682821896,3.650401524029267,0.14601606096117062,0.07520325203252033,-50.02950698585347,9,4,1.0777401144353838,0.3119062728535246,0.8981690895242217,-0.3804005493403085,1.3150237610787712,135.06485638908288,37,0.0,0.0,0,0.1627140981891119,-0.43239624579535296,-0.5163452523619293,4,-0.43239624579533575,low_trade_count,1.30765735343239,FAIL
buy_baseline,53,49.056603773584904,1.236145852472417,1.4785315619976247,-1.040028560480946,2.7896821924484905,0.11158728769793966,0.10772357723577236,-50.00143685577646,11,6,1.106644141544132,0.5683263067853391,0.9693655852225144,-0.15478537848097385,1.236145852472417,147.85315619976998,53,0.0,0.0,0,0.1627140981891119,-0.43239624579535296,-0.5163452523619293,4,-0.43239624579533575,low_trade_count,1.2286658002426667,FAIL
buy_bb_bot35,13,38.46153846153847,0.8032946210630959,-0.3856254595948485,-0.9927749327501673,-2.9663496891910106,-0.11865398756764046,0.026422764227642278,-52.075773973477084,4,4,0.5813287270531632,-0.8207721767540701,0.4623295715868985,-1.0540606829763357,0.8032946210630959,-38.56254595948314,13,0.0,0.0,0,0.0,0.0,0.0,0,0.0,low_trade_count,0.7994786916492495,FAIL
sell_rsi_bb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,low_trade_count,0.0,FAIL
sell_macd_bb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,low_trade_count,0.0,FAIL
sell_all,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,low_trade_count,0.0,FAIL
buy_rsi_bb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,low_trade_count,0.0,FAIL
buy_macd_bb,2,100.0,0.0,0.4721209162382184,0.0,23.60604581191074,0.9442418324764295,0.0040650406504065045,3.2242930342436265,2,0,0.0,0.03224293034243626,0.0,0.0,0.0,47.21209162382148,2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,low_trade_count,0.0,FAIL
buy_all,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,low_trade_count,0.0,FAIL
both_rsi_macd_bb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,low_trade_count,0.0,FAIL
